Timestamp	Process	TID	Area	Category	EventID	Level	Message	Correlation
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x1F98	Microsoft Word	Identity Http Client	azi1l	Medium	[RequestBase] GetAuthHandler {"Result":3,"Message":"Failed to get AuthHandler from IRequestSettings"}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x1F98	Microsoft Word	Identity Http Client	azi1l	Medium	[RequestBase] GetAuthHandler {"Result":3,"Message":"Failed to get AuthHandler from IRequestSettings"}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x1F98	Microsoft Word	Identity Http Client	bt3xg	Medium	[RequestBase] SetupAuthParams {"Message":"Setting minAutoLogonLevel on auth parameter object.","RequestId":"47","Level":2}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x26F0	Microsoft Word	WebServiceApi	ayvt8	Medium	[OfficeWebServiceApi] ProcessRequestLogHelper {"Message":"ProcessRequest: request processing START","RequestId":34}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x2E90	Microsoft Word	WebServiceApi	ayvt8	Medium	[OfficeWebServiceApi] ProcessRequestLogHelper {"Message":"ProcessRequest: request processing START","RequestId":35}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x26F0	Microsoft Word	WebServiceApi	ayvt8	Medium	[OfficeWebServiceApi] ProcessRequestLogHelper {"Message":"AddAuthInfo: auth processing START","RequestId":34}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x26F0	Microsoft Word	WebServiceApi	ayvt9	Medium	[OfficeWebServiceApi] ~ProcessRequestLogHelper {"Message":"AddAuthInfo: auth processing END","RequestId":34}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x26F0	Microsoft Word	Identity Http Client	azi1l	Medium	[RequestBase] GetAuthHandler {"Result":3,"Message":"Failed to get AuthHandler from IRequestSettings"}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x2E90	Microsoft Word	WebServiceApi	ayvt8	Medium	[OfficeWebServiceApi] ProcessRequestLogHelper {"Message":"AddAuthInfo: auth processing START","RequestId":35}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x2E90	Microsoft Word	WebServiceApi	ayvt9	Medium	[OfficeWebServiceApi] ~ProcessRequestLogHelper {"Message":"AddAuthInfo: auth processing END","RequestId":35}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x26F0	Microsoft Word	Identity Http Client	azi1l	Medium	[RequestBase] GetAuthHandler {"Result":3,"Message":"Failed to get AuthHandler from IRequestSettings"}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x26F0	Microsoft Word	Identity Http Client	azi1l	Medium	[RequestBase] GetAuthHandler {"Result":3,"Message":"Failed to get AuthHandler from IRequestSettings"}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x26F0	Microsoft Word	Identity Http Client	bt3xg	Medium	[RequestBase] SetupAuthParams {"Message":"Setting minAutoLogonLevel on auth parameter object.","RequestId":"48","Level":2}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x381C	Microsoft Word	WebServiceApi	ayvt8	Medium	[OfficeWebServiceApi] ProcessRequestLogHelper {"Message":"ProcessRequest: request processing START","RequestId":36}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x2E90	Microsoft Word	Identity Http Client	azi1l	Medium	[RequestBase] GetAuthHandler {"Result":3,"Message":"Failed to get AuthHandler from IRequestSettings"}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x2E90	Microsoft Word	Identity Http Client	azi1l	Medium	[RequestBase] GetAuthHandler {"Result":3,"Message":"Failed to get AuthHandler from IRequestSettings"}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x2E90	Microsoft Word	Identity Http Client	azi1l	Medium	[RequestBase] GetAuthHandler {"Result":3,"Message":"Failed to get AuthHandler from IRequestSettings"}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x2E90	Microsoft Word	Identity Http Client	bt3xg	Medium	[RequestBase] SetupAuthParams {"Message":"Setting minAutoLogonLevel on auth parameter object.","RequestId":"49","Level":2}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x381C	Microsoft Word	WebServiceApi	ayvt8	Medium	[OfficeWebServiceApi] ProcessRequestLogHelper {"Message":"AddAuthInfo: auth processing START","RequestId":36}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x381C	Microsoft Word	WebServiceApi	ayvt9	Medium	[OfficeWebServiceApi] ~ProcessRequestLogHelper {"Message":"AddAuthInfo: auth processing END","RequestId":36}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x3BE8	Microsoft Word	WebServiceApi	ayvt8	Medium	[OfficeWebServiceApi] ProcessRequestLogHelper {"Message":"ProcessRequest: request processing START","RequestId":37}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x381C	Microsoft Word	Identity Http Client	azi1l	Medium	[RequestBase] GetAuthHandler {"Result":3,"Message":"Failed to get AuthHandler from IRequestSettings"}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x381C	Microsoft Word	Identity Http Client	azi1l	Medium	[RequestBase] GetAuthHandler {"Result":3,"Message":"Failed to get AuthHandler from IRequestSettings"}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x381C	Microsoft Word	Identity Http Client	azi1l	Medium	[RequestBase] GetAuthHandler {"Result":3,"Message":"Failed to get AuthHandler from IRequestSettings"}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x381C	Microsoft Word	Identity Http Client	bt3xg	Medium	[RequestBase] SetupAuthParams {"Message":"Setting minAutoLogonLevel on auth parameter object.","RequestId":"50","Level":2}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x2CC4	Microsoft Word	WebServiceApi	ayvt8	Medium	[OfficeWebServiceApi] ProcessRequestLogHelper {"Message":"ProcessRequest: request processing START","RequestId":38}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x3BE8	Microsoft Word	WebServiceApi	ayvt8	Medium	[OfficeWebServiceApi] ProcessRequestLogHelper {"Message":"AddAuthInfo: auth processing START","RequestId":37}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x3BE8	Microsoft Word	WebServiceApi	ayvt9	Medium	[OfficeWebServiceApi] ~ProcessRequestLogHelper {"Message":"AddAuthInfo: auth processing END","RequestId":37}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x2CC4	Microsoft Word	WebServiceApi	ayvt8	Medium	[OfficeWebServiceApi] ProcessRequestLogHelper {"Message":"AddAuthInfo: auth processing START","RequestId":38}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x2CC4	Microsoft Word	WebServiceApi	ayvt9	Medium	[OfficeWebServiceApi] ~ProcessRequestLogHelper {"Message":"AddAuthInfo: auth processing END","RequestId":38}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x3910	Microsoft Word	WebServiceApi	ayvt8	Medium	[OfficeWebServiceApi] ProcessRequestLogHelper {"Message":"ProcessRequest: request processing START","RequestId":39}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x3BE8	Microsoft Word	Identity Http Client	azi1l	Medium	[RequestBase] GetAuthHandler {"Result":3,"Message":"Failed to get AuthHandler from IRequestSettings"}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x2CC4	Microsoft Word	Identity Http Client	azi1l	Medium	[RequestBase] GetAuthHandler {"Result":3,"Message":"Failed to get AuthHandler from IRequestSettings"}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x3BE8	Microsoft Word	Identity Http Client	azi1l	Medium	[RequestBase] GetAuthHandler {"Result":3,"Message":"Failed to get AuthHandler from IRequestSettings"}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x2CC4	Microsoft Word	Identity Http Client	azi1l	Medium	[RequestBase] GetAuthHandler {"Result":3,"Message":"Failed to get AuthHandler from IRequestSettings"}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x3BE8	Microsoft Word	Identity Http Client	azi1l	Medium	[RequestBase] GetAuthHandler {"Result":3,"Message":"Failed to get AuthHandler from IRequestSettings"}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x2CC4	Microsoft Word	Identity Http Client	azi1l	Medium	[RequestBase] GetAuthHandler {"Result":3,"Message":"Failed to get AuthHandler from IRequestSettings"}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x2CC4	Microsoft Word	Identity Http Client	bt3xg	Medium	[RequestBase] SetupAuthParams {"Message":"Setting minAutoLogonLevel on auth parameter object.","RequestId":"52","Level":2}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x3BE8	Microsoft Word	Identity Http Client	bt3xg	Medium	[RequestBase] SetupAuthParams {"Message":"Setting minAutoLogonLevel on auth parameter object.","RequestId":"51","Level":2}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x1298	Microsoft Word	WebServiceApi	ayvt8	Medium	[OfficeWebServiceApi] ProcessRequestLogHelper {"Message":"ProcessRequest: request processing START","RequestId":40}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x3910	Microsoft Word	WebServiceApi	ayvt8	Medium	[OfficeWebServiceApi] ProcessRequestLogHelper {"Message":"AddAuthInfo: auth processing START","RequestId":39}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x3910	Microsoft Word	WebServiceApi	ayvt9	Medium	[OfficeWebServiceApi] ~ProcessRequestLogHelper {"Message":"AddAuthInfo: auth processing END","RequestId":39}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x3910	Microsoft Word	Identity Http Client	azi1l	Medium	[RequestBase] GetAuthHandler {"Result":3,"Message":"Failed to get AuthHandler from IRequestSettings"}	
03/02/2021 06:47:00.813	WINWORD (0x3020)	0x3910	Microsoft Word	Identity Http Client	azi1l	Medium	[RequestBase] GetAuthHandler {"Result":3,"Message":"Failed to get AuthHandler from IRequestSettings"}	
